year,births_total,births_01,births_02,births_03,births_04,births_05,births_06,births_07,births_08,births_09,births_10,births_11,births_12,deaths_total,deaths_01,deaths_02,deaths_03,deaths_04,deaths_05,deaths_06,deaths_07,deaths_08,deaths_09,deaths_10,deaths_11,deaths_12
1877,89244,7360,6786,7467,7509,7691,7406,7826,7679,7566,7558,7165,7231,65353,6041,5806,6660,5903,5941,5311,5154,5150,4631,4806,4599,5351
1878,87833,7515,6975,7657,7499,7570,7193,7360,7327,7489,7318,6996,6934,65311,5784,5400,6271,6437,5734,5100,5261,5437,4842,4482,5034,5529
1879,86180,7040,6668,7450,7266,7364,7166,7283,7395,7196,7215,6962,7175,63651,5565,5254,6044,5803,6032,5169,4836,4748,4941,4621,4568,6070
1880,84165,7263,6708,7079,6980,7423,7075,7330,7266,6715,6541,6648,7137,62223,6469,6095,6248,5923,5275,4757,4621,4615,4455,4230,4621,4914
1881,85142,7802,6763,7573,6866,7110,6838,7167,6989,6984,7143,6817,7090,63979,6328,5698,6377,5830,5815,5092,4982,5294,4459,4532,4389,5183
1882,82689,7214,6506,7233,6744,6937,6860,7088,6983,6967,6878,6594,6685,62849,6082,6238,6955,6322,5746,4900,4516,4309,4142,4028,4474,5137
1883,81974,7115,6676,7163,6832,6887,6650,6886,7071,6823,6941,6400,6530,58733,5343,5126,6382,5883,5563,4559,4545,4135,3950,4113,4157,4977
1884,81571,6714,6546,7336,6627,7019,6749,7036,6935,6810,6759,6474,6566,58301,5211,4973,5679,5554,5204,4677,4676,4625,4020,4196,4396,5090
1885,80349,6929,6245,7048,6761,6659,6660,6849,6951,6685,6777,6405,6380,61548,6184,5640,6323,5999,5564,4721,4814,4672,4084,4236,4351,4960
1886,80763,6997,6330,7131,6836,6910,6552,6938,6799,6778,6766,6275,6451,60061,5873,5288,6401,5714,5514,4628,4481,4141,4178,4416,4230,5197
1887,81287,6951,6257,7098,7105,6753,6713,7076,6830,6771,6798,6496,6439,58939,5460,5449,6221,5872,5264,4403,4481,4503,4211,4187,4181,4707
1888,81098,6864,6601,7144,6678,6863,6744,7182,7008,6784,6695,6173,6362,58229,5570,5471,6100,5865,5189,4460,4230,4001,3746,4265,4303,5029
1889,81176,6746,6523,7219,6990,6957,6770,6805,6895,6909,6621,6273,6468,59715,5735,5258,6059,6178,5143,4459,4633,4329,4174,4256,4124,5367
1890,78548,6920,6233,7235,6720,6790,6659,6795,6755,5743,5312,6194,7192,61805,9257,5475,6211,5577,5079,4655,4208,4273,3829,3930,4168,5143
1891,83596,7346,6948,7685,7212,7001,6995,7103,7097,6624,6809,6290,6486,61183,5955,5517,6702,6568,5686,4836,4323,4294,4045,4141,4486,4630
